,mean_abs_shap
P_DEMO__RIDAGEYR_Age_in_years_at_screening,0.8631037374989687
P_DEMO__INDFMPIR_Ratio_of_family_income_to_poverty,0.027560324322388512
P_BMX__BMXWT_Weight_kg,0.022775087263908783
P_BMX__BMXHT_Standing_Height_cm,0.015548173579052511
P_BMX__BMXBMI_Body_Mass_Index_kg_m_2,0.019861278194021663
P_BMX__BMXLEG_Upper_Leg_Length_cm,0.07564799750945791
P_BMX__BMXARML_Upper_Arm_Length_cm,0.010472468171861139
P_BMX__BMXARMC_Arm_Circumference_cm,0.02904724344794855
P_BMX__BMXWAIST_Waist_Circumference_cm,0.12235642035369419
P_BMX__BMXHIP_Hip_Circumference_cm,0.047668124173559485
P_LUX__LUXSMED_Median_stiffness_E_kilopascals_kPa,0.10793005809333621
P_LUX__LUXCAPM_Median_CAP_decibels_per_meter_dB_m,0.335773763701305
P_ALB_CR__URXUMS_Albumin_urine_mg_L,0.11973075599864122
P_ALB_CR__URXCRS_Creatinine_urine_umol_L,0.028024354852813835
P_ALB_CR__URDACT_Albumin_creatinine_ratio_mg_g,0.22608763722822103
P_BIOPRO__LBXSATSI_Alanine_Aminotransferase_ALT_U_L,0.017326767532935564
P_BIOPRO__LBXSAL_Albumin_refrigerated_serum_g_dL,0.06575610266534497
P_BIOPRO__LBXSAPSI_Alkaline_Phosphatase_ALP_IU_L,0.03533113818151603
P_BIOPRO__LBXSC3SI_Bicarbonate_mmol_L,0.022669591277032018
P_BIOPRO__LBDSBUSI_Blood_Urea_Nitrogen_mmol_L,0.14738253087095113
P_BIOPRO__LBXSCLSI_Chloride_mmol_L,0.2642610038878005
P_BIOPRO__LBXSCK_Creatine_Phosphokinase_CPK_IU_L,0.02093870702178857
P_BIOPRO__LBDSCRSI_Creatinine_refrigerated_serum_umol_L,0.055531940066944584
P_BIOPRO__LBDSGBSI_Globulin_g_L,0.020793449701973284
P_BIOPRO__LBXSGTSI_Gamma_Glutamyl_Transferase_GGT_IU_L,0.05761926366898736
P_BIOPRO__LBDSIRSI_Iron_refrigerated_serum_umol_L,0.01405465271098881
P_BIOPRO__LBXSLDSI_Lactate_Dehydrogenase_LDH_IU_L,0.09624386938631756
P_BIOPRO__LBXSOSSI_Osmolality_mmol_Kg,0.8946363408218517
P_BIOPRO__LBDSPHSI_Phosphorus_mmol_L,0.023463250636091778
P_BIOPRO__LBXSNASI_Sodium_mmol_L,0.7056970137134965
P_BIOPRO__LBDSTBSI_Total_Bilirubin_umol_L,0.011521328886994461
P_BIOPRO__LBDSCASI_Total_Calcium_mmol_L,0.027531078722672214
P_BIOPRO__LBDSCHSI_Cholesterol_refrigerated_serum_mmol_L,0.0830088750774865
P_BIOPRO__LBDSTPSI_Total_Protein_g_L,0.0350129172534938
P_BIOPRO__LBDSTRSI_Triglycerides_refrig_serum_mmol_L,0.12359381062259282
P_BIOPRO__LBDSUASI_Uric_acid_umol_L,0.02617550667828521
P_CBC__LBXWBCSI_White_blood_cell_count_1000_cells_uL,0.030600274181193154
P_CBC__LBXLYPCT_Lymphocyte_percent,0.012968638551579448
P_CBC__LBXMOPCT_Monocyte_percent,0.04115653590521363
P_CBC__LBXNEPCT_Segmented_neutrophils_percent,0.027012089712266506
P_CBC__LBXEOPCT_Eosinophils_percent,0.023256105845243926
P_CBC__LBXBAPCT_Basophils_percent,0.014912516243385725
P_CBC__LBDLYMNO_Lymphocyte_number_1000_cells_uL,0.026034018033741033
P_CBC__LBDMONO_Monocyte_number_1000_cells_uL,0.009841575475111112
P_CBC__LBDNENO_Segmented_neutrophils_num_1000_cell_uL,0.011102309539187293
P_CBC__LBDEONO_Eosinophils_number_1000_cells_uL,0.01851866860221278
P_CBC__LBDBANO_Basophils_number_1000_cells_uL,0.00848744705540487
P_CBC__LBXRBCSI_Red_blood_cell_count_million_cells_uL,0.014508330320446065
P_CBC__LBXHGB_Hemoglobin_g_dL,0.024568311523558952
P_CBC__LBXHCT_Hematocrit,0.024108682145252722
P_CBC__LBXMCVSI_Mean_cell_volume_fL,0.02654069005658155
P_CBC__LBXMC_Mean_Cell_Hgb_Conc_g_dL,0.04283924643412887
P_CBC__LBXMCHSI_Mean_cell_hemoglobin_pg,0.09347948951383739
P_CBC__LBXRDW_Red_cell_distribution_width,0.014359817288593433
P_CBC__LBXPLTSI_Platelet_count_1000_cells_uL,0.021481765079206933
P_CBC__LBXMPSI_Mean_platelet_volume_fL,0.06911579908547129
P_CBC__LBXNRBC_Nucleated_red_blood_cells_100_WBC,0.01000313675934358
P_COT__LBXCOT_Cotinine_Serum_ng_mL,0.011537433090898322
P_COT__LBXHCOT_Hydroxycotinine_Serum_ng_mL,0.009841808820232162
P_FASTQX__PHAFSTMN_Total_length_of_food_fast_minutes,0.01838163213941503
P_FERTIN__LBDFERSI_Ferritin_ug_L,0.04375587740135494
P_FETIB__LBDIRNSI_Iron_frozen_Serum_umol_L,0.018562735977931278
P_FETIB__LBDUIBSI_UIBC_Serum_umol_L,0.014336587008861165
P_FETIB__LBDTIBSI_Tot_Iron_Binding_Capacity_TIBC_umol_L,0.031045300280383038
P_FETIB__LBDPCT_Transferrin_Saturation,0.01272880586979113
P_HDL__LBDHDDSI_Direct_HDL_Cholesterol_mmol_L,0.0775491092210061
P_HSCRP__LBXHSCRP_HS_C_Reactive_Protein_mg_L,0.02884864123590473
P_IHGEM__LBDIHGSI_Mercury_inorganic_nmol_L,0.04546282028841773
P_IHGEM__LBDBGESI_Mercury_ethyl_nmol_L,0.0009113261176056124
P_IHGEM__LBDBGMSI_Mercury_methyl_nmol_L,0.04094575718764165
P_PBCD__LBDBPBSI_Blood_lead_umol_L,0.1151255481644192
P_PBCD__LBDBCDSI_Blood_cadmium_nmol_L,0.03602353624452464
P_PBCD__LBDTHGSI_Blood_mercury_total_nmol_L,0.02471111797729551
P_PBCD__LBDBSESI_Blood_selenium_umol_L,0.0522575582558469
P_PBCD__LBDBMNSI_Blood_manganese_nmol_L,0.02262278806376021
P_TCHOL__LBDTCSI_Total_Cholesterol_mmol_L,0.10536129938917083
P_TST__LBD17HSI_17_hydroxyprogesterone_nmol_L,0.030233355195965896
P_TST__LBDANDSI_Androstenedione_nmol_L,0.014156266450952385
P_TST__LBDESTSI_Estradiol_pmol_L,0.02929952626038457
P_TST__LBDESOSI_Estrone_pmol_L,0.009845531825129695
P_TST__LBDES1SI_Estrone_Sulfate_pmol_L,0.0191066133327341
P_TST__LBXFSH_Follicle_Stimulating_Hormone_mIU_mL,0.04565853091590419
P_TST__LBXLUH_Luteinizing_Hormone_mIU_mL,0.03521412483872093
P_TST__LBDPG4SI_Progesterone_nmol_L,0.0323567493381091
P_TST__LBXSHBG_SHBG_nmol_L,0.05409032683701109
P_DBQ__DBD895_of_meals_not_home_prepared,0.021774316584443804
P_DBQ__DBD900_of_meals_from_fast_food_or_pizza_place,0.009497859658655515
P_DBQ__DBD905_of_ready_to_eat_foods_in_past_30_days,0.01008754658780498
P_DBQ__DBD910_of_frozen_meals_pizza_in_past_30_days,0.003614686794019267
P_INQ__INDFMMPI_Family_monthly_poverty_level_index,0.023248589238081062
P_MCQ__MCQ160A,0.021835515931672156
P_MCQ__MCQ160B,0.0
P_MCQ__MCQ160C,0.006660909595878315
P_MCQ__MCQ160D,0.0015484297407405787
P_MCQ__MCQ160E,0.0014105695041584606
P_MCQ__MCQ160F,0.0017650609652099128
P_MCQ__MCQ160M,0.006419164001424089
P_MCQ__MCQ160P,0.002775693662250867
P_MCQ__MCQ160L,0.004240550707900018
P_MCQ__MCQ300B,0.0015955010702605019
P_MCQ__MCQ300C,0.42157818091112065
P_MCQ__MCQ300A,0.008548261729494338
P_MCQ__MCQ366A,0.02874843942996212
P_MCQ__MCQ366B,0.06166290660449366
P_MCQ__MCQ366C,0.05969230003139731
P_MCQ__MCQ366D,0.19154303447899654
P_MCQ__MCQ371A,0.0017544700515583986
P_MCQ__MCQ371B,0.005335286712486769
P_MCQ__MCQ371C,0.031640226238765314
P_MCQ__MCQ371D,0.04397398378266962
P_PAQ__PAD680_Minutes_sedentary_activity,0.008780923179856775
P_WHQ__WHD010_Current_self_reported_height_inches,0.00228553228241702
P_WHQ__WHD020_Current_self_reported_weight_pounds,0.016984454332612486
P_WHQ__WHD050_Self_reported_weight_1_yr_ago_pounds,0.026699331410278367
P_WHQ__WHD120_Self_reported_weight_age_25_pounds,0.06738581498332885
P_WHQ__WHD140_Self_reported_greatest_weight_pounds,0.04454104107651409
P_WHQ__WHQ150_Age_when_heaviest_weight,0.14148045300498793
BP_sys_median,0.034783778389198605
BP_dia_median,0.052047367823399214
Pulse_median,0.1540816630589402
P_DEMO__RIAGENDR_Gender_2.0,0.0
P_DEMO__RIDRETH3_Race_Hispanic_origin_w_NH_Asian_2.0,0.002744025357358024
P_DEMO__RIDRETH3_Race_Hispanic_origin_w_NH_Asian_3.0,0.11256886857949369
P_DEMO__RIDRETH3_Race_Hispanic_origin_w_NH_Asian_4.0,0.06251584959578996
P_DEMO__RIDRETH3_Race_Hispanic_origin_w_NH_Asian_6.0,0.02244039020515724
P_DEMO__RIDRETH3_Race_Hispanic_origin_w_NH_Asian_7.0,0.0
P_DEMO__RIDEXMON_Six_month_time_period_2.0,0.015375277788926887
P_DEMO__DMDBORN4_Country_of_birth_2.0,0.04796429248142378
P_DEMO__DMDBORN4_Country_of_birth_77.0,0.00033519277643023
