,mean_abs_shap
P_DEMO__RIDAGEYR_Age_in_years_at_screening,0.011253075497562949
P_DEMO__INDFMPIR_Ratio_of_family_income_to_poverty,0.00025544235706730073
P_BMX__BMXWT_Weight_kg,0.0020903070123780417
P_BMX__BMXHT_Standing_Height_cm,0.00017672085574808803
P_BMX__BMXBMI_Body_Mass_Index_kg_m_2,0.0015577911970329557
P_BMX__BMXLEG_Upper_Leg_Length_cm,0.0007800669116124196
P_BMX__BMXARML_Upper_Arm_Length_cm,0.00020104891599724082
P_BMX__BMXARMC_Arm_Circumference_cm,0.0008843906677962692
P_BMX__BMXWAIST_Waist_Circumference_cm,0.0036141324925724762
P_BMX__BMXHIP_Hip_Circumference_cm,0.0007391578446413727
P_LUX__LUXSMED_Median_stiffness_E_kilopascals_kPa,0.001302320198880695
P_LUX__LUXCAPM_Median_CAP_decibels_per_meter_dB_m,0.010763403586611169
P_ALB_CR__URXUMS_Albumin_urine_mg_L,0.0008862361994754654
P_ALB_CR__URXCRS_Creatinine_urine_umol_L,0.00020516898434719423
P_ALB_CR__URDACT_Albumin_creatinine_ratio_mg_g,0.0010598410174409237
P_BIOPRO__LBXSATSI_Alanine_Aminotransferase_ALT_U_L,0.0003105108581422697
P_BIOPRO__LBXSAL_Albumin_refrigerated_serum_g_dL,0.0005525671004020963
P_BIOPRO__LBXSAPSI_Alkaline_Phosphatase_ALP_IU_L,0.0005630433601155929
P_BIOPRO__LBXSC3SI_Bicarbonate_mmol_L,0.00018155285269804816
P_BIOPRO__LBDSBUSI_Blood_Urea_Nitrogen_mmol_L,0.0011473320424357553
P_BIOPRO__LBXSCLSI_Chloride_mmol_L,0.0015245025858309155
P_BIOPRO__LBXSCK_Creatine_Phosphokinase_CPK_IU_L,0.00018529326356762817
P_BIOPRO__LBDSCRSI_Creatinine_refrigerated_serum_umol_L,0.0004958263379790416
P_BIOPRO__LBDSGBSI_Globulin_g_L,0.00035000310942019485
P_BIOPRO__LBXSGTSI_Gamma_Glutamyl_Transferase_GGT_IU_L,0.000562181935613758
P_BIOPRO__LBDSIRSI_Iron_refrigerated_serum_umol_L,0.00023164386060319878
P_BIOPRO__LBXSLDSI_Lactate_Dehydrogenase_LDH_IU_L,0.00019299443480846591
P_BIOPRO__LBXSOSSI_Osmolality_mmol_Kg,0.0023624931096156306
P_BIOPRO__LBDSPHSI_Phosphorus_mmol_L,0.00017462494122971834
P_BIOPRO__LBXSNASI_Sodium_mmol_L,0.000426537074906791
P_BIOPRO__LBDSTBSI_Total_Bilirubin_umol_L,0.00014310200481588073
P_BIOPRO__LBDSCASI_Total_Calcium_mmol_L,0.00019365639698061118
P_BIOPRO__LBDSCHSI_Cholesterol_refrigerated_serum_mmol_L,0.0010458474203063873
P_BIOPRO__LBDSTPSI_Total_Protein_g_L,0.00017942021078371192
P_BIOPRO__LBDSTRSI_Triglycerides_refrig_serum_mmol_L,0.0011597884357525774
P_BIOPRO__LBDSUASI_Uric_acid_umol_L,0.00046193742453420796
P_CBC__LBXWBCSI_White_blood_cell_count_1000_cells_uL,0.00036128602696987403
P_CBC__LBXLYPCT_Lymphocyte_percent,0.00037773096074082224
P_CBC__LBXMOPCT_Monocyte_percent,0.00018957727592450868
P_CBC__LBXNEPCT_Segmented_neutrophils_percent,0.00036776974999728535
P_CBC__LBXEOPCT_Eosinophils_percent,0.0001834141932002414
P_CBC__LBXBAPCT_Basophils_percent,0.00016739954258218335
P_CBC__LBDLYMNO_Lymphocyte_number_1000_cells_uL,0.00018970894254732485
P_CBC__LBDMONO_Monocyte_number_1000_cells_uL,0.0003518272638644503
P_CBC__LBDNENO_Segmented_neutrophils_num_1000_cell_uL,0.0003629805635815056
P_CBC__LBDEONO_Eosinophils_number_1000_cells_uL,0.00013134564630932507
P_CBC__LBDBANO_Basophils_number_1000_cells_uL,0.0007843357485362012
P_CBC__LBXRBCSI_Red_blood_cell_count_million_cells_uL,0.00022062019258780054
P_CBC__LBXHGB_Hemoglobin_g_dL,0.00018725716781511543
P_CBC__LBXHCT_Hematocrit,0.00029480171214964825
P_CBC__LBXMCVSI_Mean_cell_volume_fL,0.00025835902935180977
P_CBC__LBXMC_Mean_Cell_Hgb_Conc_g_dL,0.0003303410028828916
P_CBC__LBXMCHSI_Mean_cell_hemoglobin_pg,0.00047118749858427686
P_CBC__LBXRDW_Red_cell_distribution_width,0.0004720435645105166
P_CBC__LBXPLTSI_Platelet_count_1000_cells_uL,0.0001874503088392861
P_CBC__LBXMPSI_Mean_platelet_volume_fL,0.0002735518949294692
P_CBC__LBXNRBC_Nucleated_red_blood_cells_100_WBC,0.00016426540057914776
P_COT__LBXCOT_Cotinine_Serum_ng_mL,0.00017232144620254203
P_COT__LBXHCOT_Hydroxycotinine_Serum_ng_mL,0.00012992861923822872
P_FASTQX__PHAFSTMN_Total_length_of_food_fast_minutes,0.00018054378764223813
P_FERTIN__LBDFERSI_Ferritin_ug_L,0.0005129106551483946
P_FETIB__LBDIRNSI_Iron_frozen_Serum_umol_L,0.0002011119246904988
P_FETIB__LBDUIBSI_UIBC_Serum_umol_L,0.00034295192664933965
P_FETIB__LBDTIBSI_Tot_Iron_Binding_Capacity_TIBC_umol_L,0.00022624634078238684
P_FETIB__LBDPCT_Transferrin_Saturation,0.00035611549186540117
P_HDL__LBDHDDSI_Direct_HDL_Cholesterol_mmol_L,0.0014948549682946076
