,mean_abs_shap
P_DEMO__RIDAGEYR_Age_in_years_at_screening,0.8658861718950964
P_DEMO__INDFMPIR_Ratio_of_family_income_to_poverty,0.005449519344491971
P_BMX__BMXWT_Weight_kg,0.0037308264856860773
P_BMX__BMXHT_Standing_Height_cm,0.00795823390408254
P_BMX__BMXBMI_Body_Mass_Index_kg_m_2,0.014857798457112695
P_BMX__BMXLEG_Upper_Leg_Length_cm,0.03758322778293086
P_BMX__BMXARML_Upper_Arm_Length_cm,0.002781535633962169
P_BMX__BMXARMC_Arm_Circumference_cm,0.0331979043971101
P_BMX__BMXWAIST_Waist_Circumference_cm,0.19003576948959422
P_BMX__BMXHIP_Hip_Circumference_cm,0.03576635585867928
P_LUX__LUXSMED_Median_stiffness_E_kilopascals_kPa,0.07695464819956263
P_LUX__LUXCAPM_Median_CAP_decibels_per_meter_dB_m,0.23630549768764803
P_ALB_CR__URXUMS_Albumin_urine_mg_L,0.01972699931896966
P_ALB_CR__URXCRS_Creatinine_urine_umol_L,0.0036536844211951004
P_ALB_CR__URDACT_Albumin_creatinine_ratio_mg_g,0.21978440987662592
P_BIOPRO__LBXSATSI_Alanine_Aminotransferase_ALT_U_L,0.005073504396140224
P_BIOPRO__LBXSAL_Albumin_refrigerated_serum_g_dL,0.0433222808760142
P_BIOPRO__LBXSAPSI_Alkaline_Phosphatase_ALP_IU_L,0.017745823121878217
P_BIOPRO__LBXSC3SI_Bicarbonate_mmol_L,0.01315172274633986
P_BIOPRO__LBDSBUSI_Blood_Urea_Nitrogen_mmol_L,0.1372249647221576
P_BIOPRO__LBXSCLSI_Chloride_mmol_L,0.19560716201044814
P_BIOPRO__LBXSCK_Creatine_Phosphokinase_CPK_IU_L,0.022405232648583226
P_BIOPRO__LBDSCRSI_Creatinine_refrigerated_serum_umol_L,0.06110822163411703
P_BIOPRO__LBDSGBSI_Globulin_g_L,0.02062868612737324
P_BIOPRO__LBXSGTSI_Gamma_Glutamyl_Transferase_GGT_IU_L,0.11529803220361988
P_BIOPRO__LBDSIRSI_Iron_refrigerated_serum_umol_L,0.009638126131204593
P_BIOPRO__LBXSLDSI_Lactate_Dehydrogenase_LDH_IU_L,0.09794641558316901
P_BIOPRO__LBXSOSSI_Osmolality_mmol_Kg,0.5747006450029909
P_BIOPRO__LBDSPHSI_Phosphorus_mmol_L,0.012574098643441396
P_BIOPRO__LBXSNASI_Sodium_mmol_L,0.43090415529303
P_BIOPRO__LBDSTBSI_Total_Bilirubin_umol_L,0.0018832169780102096
P_BIOPRO__LBDSCASI_Total_Calcium_mmol_L,0.005472552106664221
P_BIOPRO__LBDSCHSI_Cholesterol_refrigerated_serum_mmol_L,0.10766422060247934
P_BIOPRO__LBDSTPSI_Total_Protein_g_L,0.01808619141822841
P_BIOPRO__LBDSTRSI_Triglycerides_refrig_serum_mmol_L,0.1179229919140011
P_BIOPRO__LBDSUASI_Uric_acid_umol_L,0.012701054001780858
P_CBC__LBXWBCSI_White_blood_cell_count_1000_cells_uL,0.02044787389477785
P_CBC__LBXLYPCT_Lymphocyte_percent,0.011379293342547505
P_CBC__LBXMOPCT_Monocyte_percent,0.029320196596687935
P_CBC__LBXNEPCT_Segmented_neutrophils_percent,0.012456452912654641
P_CBC__LBXEOPCT_Eosinophils_percent,0.03563957443188573
P_CBC__LBXBAPCT_Basophils_percent,0.0046045890007336745
P_CBC__LBDLYMNO_Lymphocyte_number_1000_cells_uL,0.024033045044728956
P_CBC__LBDMONO_Monocyte_number_1000_cells_uL,0.01204327955684848
P_CBC__LBDNENO_Segmented_neutrophils_num_1000_cell_uL,0.009906366978877418
P_CBC__LBDEONO_Eosinophils_number_1000_cells_uL,0.005315116961266162
P_CBC__LBDBANO_Basophils_number_1000_cells_uL,0.0
P_CBC__LBXRBCSI_Red_blood_cell_count_million_cells_uL,0.011406305021088553
P_CBC__LBXHGB_Hemoglobin_g_dL,0.01023357357762498
P_CBC__LBXHCT_Hematocrit,0.008894825564241777
P_CBC__LBXMCVSI_Mean_cell_volume_fL,0.019133428470527968
P_CBC__LBXMC_Mean_Cell_Hgb_Conc_g_dL,0.025921117523544687
P_CBC__LBXMCHSI_Mean_cell_hemoglobin_pg,0.06824528551362856
P_CBC__LBXRDW_Red_cell_distribution_width,0.0024272955105386997
P_CBC__LBXPLTSI_Platelet_count_1000_cells_uL,0.012344524737471147
P_CBC__LBXMPSI_Mean_platelet_volume_fL,0.052637610987510325
P_CBC__LBXNRBC_Nucleated_red_blood_cells_100_WBC,0.0
P_COT__LBXCOT_Cotinine_Serum_ng_mL,0.0031928910368971587
P_COT__LBXHCOT_Hydroxycotinine_Serum_ng_mL,0.0
P_FASTQX__PHAFSTMN_Total_length_of_food_fast_minutes,0.005886609816621941
P_FERTIN__LBDFERSI_Ferritin_ug_L,0.051352273247910356
P_FETIB__LBDIRNSI_Iron_frozen_Serum_umol_L,0.0024931045076333454
P_FETIB__LBDUIBSI_UIBC_Serum_umol_L,0.009884385435792165
P_FETIB__LBDTIBSI_Tot_Iron_Binding_Capacity_TIBC_umol_L,0.02986745106117695
P_FETIB__LBDPCT_Transferrin_Saturation,0.0012929192702431714
P_HDL__LBDHDDSI_Direct_HDL_Cholesterol_mmol_L,0.05210976968116399
P_HSCRP__LBXHSCRP_HS_C_Reactive_Protein_mg_L,0.013965777567530143
P_IHGEM__LBDIHGSI_Mercury_inorganic_nmol_L,0.019086272175946658
P_IHGEM__LBDBGESI_Mercury_ethyl_nmol_L,0.0
P_IHGEM__LBDBGMSI_Mercury_methyl_nmol_L,0.020602770282731594
P_PBCD__LBDBPBSI_Blood_lead_umol_L,0.08538693019020778
P_PBCD__LBDBCDSI_Blood_cadmium_nmol_L,0.06199297612808252
P_PBCD__LBDTHGSI_Blood_mercury_total_nmol_L,0.0046021450538276994
P_PBCD__LBDBSESI_Blood_selenium_umol_L,0.02922186499080045
P_PBCD__LBDBMNSI_Blood_manganese_nmol_L,0.032086251548746086
P_TCHOL__LBDTCSI_Total_Cholesterol_mmol_L,0.09063432037548988
P_TST__LBD17HSI_17_hydroxyprogesterone_nmol_L,0.03360377116298078
P_TST__LBDANDSI_Androstenedione_nmol_L,0.004395370480717538
P_TST__LBDESTSI_Estradiol_pmol_L,0.028316729393879084
P_TST__LBDESOSI_Estrone_pmol_L,0.01880377565126144
P_TST__LBDES1SI_Estrone_Sulfate_pmol_L,0.012501196381821301
P_TST__LBXFSH_Follicle_Stimulating_Hormone_mIU_mL,0.03155599696680484
P_TST__LBXLUH_Luteinizing_Hormone_mIU_mL,0.01127712657592518
