,mean_abs_shap
P_DEMO__RIDAGEYR_Age_in_years_at_screening,1.0435195213641308
P_DEMO__INDFMPIR_Ratio_of_family_income_to_poverty,0.03299595156989616
P_BMX__BMXWT_Weight_kg,0.016940300047747724
P_BMX__BMXHT_Standing_Height_cm,0.01883408774625466
P_BMX__BMXBMI_Body_Mass_Index_kg_m_2,0.021174379220520217
P_BMX__BMXLEG_Upper_Leg_Length_cm,0.059201801064433596
P_BMX__BMXARML_Upper_Arm_Length_cm,0.015715235932225947
P_BMX__BMXARMC_Arm_Circumference_cm,0.033040831333661855
P_BMX__BMXWAIST_Waist_Circumference_cm,0.20810951211825063
P_BMX__BMXHIP_Hip_Circumference_cm,0.06150940032720928
P_LUX__LUXSMED_Median_stiffness_E_kilopascals_kPa,0.09883894371843836
P_LUX__LUXCAPM_Median_CAP_decibels_per_meter_dB_m,0.2669529665291693
P_ALB_CR__URXUMS_Albumin_urine_mg_L,0.08595619428127246
P_ALB_CR__URXCRS_Creatinine_urine_umol_L,0.04795453078218552
P_ALB_CR__URDACT_Albumin_creatinine_ratio_mg_g,0.259891490879343
P_BIOPRO__LBXSATSI_Alanine_Aminotransferase_ALT_U_L,0.016525402830622645
P_BIOPRO__LBXSAL_Albumin_refrigerated_serum_g_dL,0.044561907435186156
P_BIOPRO__LBXSAPSI_Alkaline_Phosphatase_ALP_IU_L,0.04973256136558055
P_BIOPRO__LBXSC3SI_Bicarbonate_mmol_L,0.0200044575439756
P_BIOPRO__LBDSBUSI_Blood_Urea_Nitrogen_mmol_L,0.22722309828958592
P_BIOPRO__LBXSCLSI_Chloride_mmol_L,0.21737766588069354
P_BIOPRO__LBXSCK_Creatine_Phosphokinase_CPK_IU_L,0.04046161799332716
P_BIOPRO__LBDSCRSI_Creatinine_refrigerated_serum_umol_L,0.0917947529475849
P_BIOPRO__LBDSGBSI_Globulin_g_L,0.0313234095325057
P_BIOPRO__LBXSGTSI_Gamma_Glutamyl_Transferase_GGT_IU_L,0.12064772774196365
P_BIOPRO__LBDSIRSI_Iron_refrigerated_serum_umol_L,0.013738953806538036
P_BIOPRO__LBXSLDSI_Lactate_Dehydrogenase_LDH_IU_L,0.12132075512964437
P_BIOPRO__LBXSOSSI_Osmolality_mmol_Kg,0.7734327587248585
P_BIOPRO__LBDSPHSI_Phosphorus_mmol_L,0.018586784283243528
P_BIOPRO__LBXSNASI_Sodium_mmol_L,0.5973345321144344
P_BIOPRO__LBDSTBSI_Total_Bilirubin_umol_L,0.01975263117893951
P_BIOPRO__LBDSCASI_Total_Calcium_mmol_L,0.031947976207058915
P_BIOPRO__LBDSCHSI_Cholesterol_refrigerated_serum_mmol_L,0.10861595654326109
P_BIOPRO__LBDSTPSI_Total_Protein_g_L,0.022743716349235277
P_BIOPRO__LBDSTRSI_Triglycerides_refrig_serum_mmol_L,0.12532598908094456
P_BIOPRO__LBDSUASI_Uric_acid_umol_L,0.024939320192582697
P_CBC__LBXWBCSI_White_blood_cell_count_1000_cells_uL,0.028728368501675126
P_CBC__LBXLYPCT_Lymphocyte_percent,0.021806755382346034
P_CBC__LBXMOPCT_Monocyte_percent,0.035114822658282134
P_CBC__LBXNEPCT_Segmented_neutrophils_percent,0.013672024306325074
P_CBC__LBXEOPCT_Eosinophils_percent,0.029097246709862964
P_CBC__LBXBAPCT_Basophils_percent,0.017163723490453347
P_CBC__LBDLYMNO_Lymphocyte_number_1000_cells_uL,0.021858119481335123
P_CBC__LBDMONO_Monocyte_number_1000_cells_uL,0.004593276899667683
P_CBC__LBDNENO_Segmented_neutrophils_num_1000_cell_uL,0.013288884355687916
P_CBC__LBDEONO_Eosinophils_number_1000_cells_uL,0.0157679843809672
P_CBC__LBDBANO_Basophils_number_1000_cells_uL,0.008912816974669455
P_CBC__LBXRBCSI_Red_blood_cell_count_million_cells_uL,0.02796161645241592
P_CBC__LBXHGB_Hemoglobin_g_dL,0.02730464691068415
P_CBC__LBXHCT_Hematocrit,0.030616797276322303
P_CBC__LBXMCVSI_Mean_cell_volume_fL,0.03730786014249865
P_CBC__LBXMC_Mean_Cell_Hgb_Conc_g_dL,0.03603707386846535
P_CBC__LBXMCHSI_Mean_cell_hemoglobin_pg,0.0810341375194159
P_CBC__LBXRDW_Red_cell_distribution_width,0.013006578839197636
P_CBC__LBXPLTSI_Platelet_count_1000_cells_uL,0.03831895874929407
P_CBC__LBXMPSI_Mean_platelet_volume_fL,0.04544224668128612
P_CBC__LBXNRBC_Nucleated_red_blood_cells_100_WBC,0.004105404972271935
P_COT__LBXCOT_Cotinine_Serum_ng_mL,0.00815528821193462
P_COT__LBXHCOT_Hydroxycotinine_Serum_ng_mL,0.00659466362941963
P_FASTQX__PHAFSTMN_Total_length_of_food_fast_minutes,0.020061021618378257
P_FERTIN__LBDFERSI_Ferritin_ug_L,0.05145946537955523
