,mean_abs_shap
P_DEMO__RIDAGEYR_Age_in_years_at_screening,0.025413270517086185
P_DEMO__INDFMPIR_Ratio_of_family_income_to_poverty,0.0007821781490793048
P_BMX__BMXWT_Weight_kg,0.0031584105308280607
P_BMX__BMXHT_Standing_Height_cm,0.0007479036144192147
P_BMX__BMXBMI_Body_Mass_Index_kg_m_2,0.0031464037119626324
P_BMX__BMXLEG_Upper_Leg_Length_cm,0.0026412956315949466
P_BMX__BMXARML_Upper_Arm_Length_cm,0.0007473414710967109
P_BMX__BMXARMC_Arm_Circumference_cm,0.0015345668196453971
P_BMX__BMXWAIST_Waist_Circumference_cm,0.012490465994359587
P_BMX__BMXHIP_Hip_Circumference_cm,0.0011026221582601501
P_LUX__LUXSMED_Median_stiffness_E_kilopascals_kPa,0.006119041962706112
P_LUX__LUXCAPM_Median_CAP_decibels_per_meter_dB_m,0.013467394724629484
P_ALB_CR__URXUMS_Albumin_urine_mg_L,0.009204952502716019
P_ALB_CR__URXCRS_Creatinine_urine_umol_L,0.00102885901764261
P_ALB_CR__URDACT_Albumin_creatinine_ratio_mg_g,0.013154983172321232
P_BIOPRO__LBXSATSI_Alanine_Aminotransferase_ALT_U_L,0.0008591139600709535
P_BIOPRO__LBXSAL_Albumin_refrigerated_serum_g_dL,0.0012469439592968764
P_BIOPRO__LBXSAPSI_Alkaline_Phosphatase_ALP_IU_L,0.0009606840927056668
P_BIOPRO__LBXSC3SI_Bicarbonate_mmol_L,0.0004326477941581187
P_BIOPRO__LBDSBUSI_Blood_Urea_Nitrogen_mmol_L,0.0037861367022614797
P_BIOPRO__LBXSCLSI_Chloride_mmol_L,0.003952092808985093
P_BIOPRO__LBXSCK_Creatine_Phosphokinase_CPK_IU_L,0.0011646940008347138
P_BIOPRO__LBDSCRSI_Creatinine_refrigerated_serum_umol_L,0.0026541155811984547
P_BIOPRO__LBDSGBSI_Globulin_g_L,0.0009993664330336437
P_BIOPRO__LBXSGTSI_Gamma_Glutamyl_Transferase_GGT_IU_L,0.004236850726199593
P_BIOPRO__LBDSIRSI_Iron_refrigerated_serum_umol_L,0.0007513660984021488
P_BIOPRO__LBXSLDSI_Lactate_Dehydrogenase_LDH_IU_L,0.0019789665996808366
P_BIOPRO__LBXSOSSI_Osmolality_mmol_Kg,0.006771226018210552
P_BIOPRO__LBDSPHSI_Phosphorus_mmol_L,0.0004134069944737578
P_BIOPRO__LBXSNASI_Sodium_mmol_L,0.0014401226540884538
P_BIOPRO__LBDSTBSI_Total_Bilirubin_umol_L,0.0003871615319514154
P_BIOPRO__LBDSCASI_Total_Calcium_mmol_L,0.000760339346878318
P_BIOPRO__LBDSCHSI_Cholesterol_refrigerated_serum_mmol_L,0.0059080477770369995
P_BIOPRO__LBDSTPSI_Total_Protein_g_L,0.0004614501586247849
P_BIOPRO__LBDSTRSI_Triglycerides_refrig_serum_mmol_L,0.00753586609490372
P_BIOPRO__LBDSUASI_Uric_acid_umol_L,0.0008730101062772454
