feature,importance
P_DEMO__RIDAGEYR_Age_in_years_at_screening,0.9583674
P_BIOPRO__LBXSOSSI_Osmolality_mmol_Kg,0.55613565
P_BIOPRO__LBXSNASI_Sodium_mmol_L,0.41854748
P_MCQ__MCQ300C,0.36416268
P_BIOPRO__LBDSTRSI_Triglycerides_refrig_serum_mmol_L,0.3563648
P_MCQ__MCQ366D,0.308986
P_LUX__LUXCAPM_Median_CAP_decibels_per_meter_dB_m,0.28725487
P_MCQ__MCQ366B,0.2707183
P_ALB_CR__URDACT_Albumin_creatinine_ratio_mg_g,0.23253782
P_DEMO__RIDRETH3_Race_Hispanic_origin_w_NH_Asian_3.0,0.23075633
P_BMX__BMXWAIST_Waist_Circumference_cm,0.21593226
P_DBQ__DBD910_of_frozen_meals_pizza_in_past_30_days,0.2010723
P_BIOPRO__LBDSCHSI_Cholesterol_refrigerated_serum_mmol_L,0.18856402
P_BIOPRO__LBXSCLSI_Chloride_mmol_L,0.17361288
P_HUQ__HUQ051_times_receive_healthcare_over_past_year_1.0,0.17088492
P_TST__LBD17HSI_17_hydroxyprogesterone_nmol_L,0.16393721
P_LUX__LUXSMED_Median_stiffness_E_kilopascals_kPa,0.14755353
P_BMX__BMXHIP_Hip_Circumference_cm,0.14594893
P_TCHOL__LBDTCSI_Total_Cholesterol_mmol_L,0.14152846
P_BMX__BMXLEG_Upper_Leg_Length_cm,0.13599317
P_BIOPRO__LBXSLDSI_Lactate_Dehydrogenase_LDH_IU_L,0.12732248
P_HUQ__HUQ051_times_receive_healthcare_over_past_year_3.0,0.12703007
P_BIOPRO__LBXSATSI_Alanine_Aminotransferase_ALT_U_L,0.11936293
P_CBC__LBXPLTSI_Platelet_count_1000_cells_uL,0.118916996
P_TST__LBXLUH_Luteinizing_Hormone_mIU_mL,0.11802376
P_CBC__LBXMPSI_Mean_platelet_volume_fL,0.117838696
P_MCQ__MCQ371D,0.11627024
P_CBC__LBXNEPCT_Segmented_neutrophils_percent,0.115381226
P_DBQ__DBQ930_Main_meal_planner_preparer_2.0,0.114030175
P_PBCD__LBDBCDSI_Blood_cadmium_nmol_L,0.11356794
BP_dia_median,0.112397976
P_IHGEM__LBDIHGSI_Mercury_inorganic_nmol_L,0.111753665
P_CBC__LBDNENO_Segmented_neutrophils_num_1000_cell_uL,0.11115968
P_FETIB__LBDUIBSI_UIBC_Serum_umol_L,0.10914185
P_WHQ__WHD140_Self_reported_greatest_weight_pounds,0.1068527
P_ALB_CR__URXUMS_Albumin_urine_mg_L,0.1060234
P_BMX__BMXARML_Upper_Arm_Length_cm,0.10413255
P_MCQ__MCQ520_Abdominal_pain_during_past_12_months_2.0,0.10210434
P_HDL__LBDHDDSI_Direct_HDL_Cholesterol_mmol_L,0.101535216
P_PBCD__LBDTHGSI_Blood_mercury_total_nmol_L,0.09961219
P_MCQ__MCQ371C,0.09833559
P_TST__LBXSHBG_SHBG_nmol_L,0.09729463
P_DBQ__DBD900_of_meals_from_fast_food_or_pizza_place,0.095231615
P_WHQ__WHQ150_Age_when_heaviest_weight,0.093784206
P_BIOPRO__LBXSGTSI_Gamma_Glutamyl_Transferase_GGT_IU_L,0.09057264
P_WHQ__WHD050_Self_reported_weight_1_yr_ago_pounds,0.09036887
P_BIOPRO__LBDSIRSI_Iron_refrigerated_serum_umol_L,0.08564538
P_BMX__BMXBMI_Body_Mass_Index_kg_m_2,0.08126886
P_SMQRTU__SMQ681_Smoked_tobacco_last_5_days_2.0,0.08082536
P_CBC__LBXMCHSI_Mean_cell_hemoglobin_pg,0.079823226
P_FETIB__LBDPCT_Transferrin_Saturation,0.0796635
P_CBC__LBXMOPCT_Monocyte_percent,0.07949576
P_TST__LBDESOSI_Estrone_pmol_L,0.07811449
P_PBCD__LBDBPBSI_Blood_lead_umol_L,0.07774369
P_BMX__BMXHT_Standing_Height_cm,0.07728806
P_BMX__BMXARMC_Arm_Circumference_cm,0.07083565
P_BIOPRO__LBDSBUSI_Blood_Urea_Nitrogen_mmol_L,0.06994295
P_DBQ__DBD895_of_meals_not_home_prepared,0.069928914
P_TST__LBXFSH_Follicle_Stimulating_Hormone_mIU_mL,0.068211876
P_MCQ__MCQ053_Taking_treatment_for_anemia_past_3_mos_2.0,0.067900226
P_CBC__LBXMC_Mean_Cell_Hgb_Conc_g_dL,0.06454968
P_FASTQX__PHAFSTMN_Total_length_of_food_fast_minutes,0.06441318
P_DBQ__DBQ945_Shared_food_shopping_duty_2.0,0.06335584
P_INQ__INDFMMPI_Family_monthly_poverty_level_index,0.06170563
P_BIOPRO__LBDSCRSI_Creatinine_refrigerated_serum_umol_L,0.060077935
P_BIOPRO__LBDSTPSI_Total_Protein_g_L,0.05910543
P_BIOPRO__LBXSAPSI_Alkaline_Phosphatase_ALP_IU_L,0.057783607
P_FERTIN__LBDFERSI_Ferritin_ug_L,0.0571642
P_DBQ__DBD905_of_ready_to_eat_foods_in_past_30_days,0.056918286
P_CBC__LBXLYPCT_Lymphocyte_percent,0.054719254
P_CBC__LBXRDW_Red_cell_distribution_width,0.0536258
P_MCQ__MCQ371A,0.052899957
