Code,Variable_Description,Data_File
SEQN,Respondent sequence number,"Dietary Interview - Individual Foods, First Day"
WTDRD1PP,Dietary day one sample weight,"Dietary Interview - Individual Foods, First Day"
WTDR2DPP,Dietary two-day sample weight,"Dietary Interview - Individual Foods, First Day"
DR1ILINE,Food/Individual component number,"Dietary Interview - Individual Foods, First Day"
DR1DRSTZ,Dietary recall status,"Dietary Interview - Individual Foods, First Day"
DR1EXMER,Interviewer ID code,"Dietary Interview - Individual Foods, First Day"
DRABF,Breast-fed infant (either day),"Dietary Interview - Individual Foods, First Day"
DRDINT,Number of days of intake,"Dietary Interview - Individual Foods, First Day"
DR1DBIH,# of days b/w intake and HH interview,"Dietary Interview - Individual Foods, First Day"
DR1DAY,Intake day of the week,"Dietary Interview - Individual Foods, First Day"
DR1LANG,Language respondent used mostly,"Dietary Interview - Individual Foods, First Day"
DR1CCMNM,Combination food number,"Dietary Interview - Individual Foods, First Day"
DR1CCMTX,Combination food type,"Dietary Interview - Individual Foods, First Day"
DR1FS,Source of food,"Dietary Interview - Individual Foods, First Day"
DR1IFDCD,USDA food code,"Dietary Interview - Individual Foods, First Day"
DR1IGRMS,Grams,"Dietary Interview - Individual Foods, First Day"
DR1IKCAL,Energy (kcal),"Dietary Interview - Individual Foods, First Day"
DR1IPROT,Protein (gm),"Dietary Interview - Individual Foods, First Day"
DR1ICARB,Carbohydrate (gm),"Dietary Interview - Individual Foods, First Day"
DR1ISUGR,Total sugars (gm),"Dietary Interview - Individual Foods, First Day"
DR1IFIBE,Dietary fiber (gm),"Dietary Interview - Individual Foods, First Day"
DR1ITFAT,Total fat (gm),"Dietary Interview - Individual Foods, First Day"
DR1ISFAT,Total saturated fatty acids (gm),"Dietary Interview - Individual Foods, First Day"
DR1IMFAT,Total monounsaturated fatty acids (gm),"Dietary Interview - Individual Foods, First Day"
DR1IPFAT,Total polyunsaturated fatty acids (gm),"Dietary Interview - Individual Foods, First Day"
DR1ICHOL,Cholesterol (mg),"Dietary Interview - Individual Foods, First Day"
DR1IATOC,Vitamin E as alpha-tocopherol (mg),"Dietary Interview - Individual Foods, First Day"
DR1IATOA,Added alpha-tocopherol (Vitamin E) (mg),"Dietary Interview - Individual Foods, First Day"
DR1IRET,Retinol (mcg),"Dietary Interview - Individual Foods, First Day"
DR1IVARA,"Vitamin A, RAE (mcg)","Dietary Interview - Individual Foods, First Day"
DR1IACAR,Alpha-carotene (mcg),"Dietary Interview - Individual Foods, First Day"
DR1IBCAR,Beta-carotene (mcg),"Dietary Interview - Individual Foods, First Day"
DR1ICRYP,Beta-cryptoxanthin (mcg),"Dietary Interview - Individual Foods, First Day"
DR1ILYCO,Lycopene (mcg),"Dietary Interview - Individual Foods, First Day"
DR1ILZ,Lutein + zeaxanthin (mcg),"Dietary Interview - Individual Foods, First Day"
DR1IVB1,Thiamin (Vitamin B1) (mg),"Dietary Interview - Individual Foods, First Day"
DR1IVB2,Riboflavin (Vitamin B2) (mg),"Dietary Interview - Individual Foods, First Day"
DR1INIAC,Niacin (mg),"Dietary Interview - Individual Foods, First Day"
DR1IVB6,Vitamin B6 (mg),"Dietary Interview - Individual Foods, First Day"
DR1IFOLA,Total folate (mcg),"Dietary Interview - Individual Foods, First Day"
DR1IFA,Folic acid (mcg),"Dietary Interview - Individual Foods, First Day"
DR1IFF,Food folate (mcg),"Dietary Interview - Individual Foods, First Day"
DR1IFDFE,"Folate, DFE (mcg)","Dietary Interview - Individual Foods, First Day"
DR1ICHL,Total choline (mg),"Dietary Interview - Individual Foods, First Day"
DR1IVB12,Vitamin B12 (mcg),"Dietary Interview - Individual Foods, First Day"
DR1IB12A,Added vitamin B12 (mcg),"Dietary Interview - Individual Foods, First Day"
DR1IVC,Vitamin C (mg),"Dietary Interview - Individual Foods, First Day"
DR1IVD,Vitamin D (D2 + D3) (mcg),"Dietary Interview - Individual Foods, First Day"
DR1IVK,Vitamin K (mcg),"Dietary Interview - Individual Foods, First Day"
DR1ICALC,Calcium (mg),"Dietary Interview - Individual Foods, First Day"
DR1IPHOS,Phosphorus (mg),"Dietary Interview - Individual Foods, First Day"
DR1IMAGN,Magnesium (mg),"Dietary Interview - Individual Foods, First Day"
DR1IIRON,Iron (mg),"Dietary Interview - Individual Foods, First Day"
DR1IZINC,Zinc (mg),"Dietary Interview - Individual Foods, First Day"
DR1ICOPP,Copper (mg),"Dietary Interview - Individual Foods, First Day"
DR1ISODI,Sodium (mg),"Dietary Interview - Individual Foods, First Day"
DR1IPOTA,Potassium (mg),"Dietary Interview - Individual Foods, First Day"
DR1ISELE,Selenium (mcg),"Dietary Interview - Individual Foods, First Day"
DR1ICAFF,Caffeine (mg),"Dietary Interview - Individual Foods, First Day"
DR1ITHEO,Theobromine (mg),"Dietary Interview - Individual Foods, First Day"
DR1IALCO,Alcohol (gm),"Dietary Interview - Individual Foods, First Day"
DR1IMOIS,Moisture (gm),"Dietary Interview - Individual Foods, First Day"
DR1IS040,SFA 4:0 (Butanoic) (gm),"Dietary Interview - Individual Foods, First Day"
