data_file,variable_name,sas_label,variable_label
P_DEMO,SEQN,Respondent_sequence_number,SEQN_Respondent_sequence_number
P_DEMO,SDDSRVYR,Data_release_cycle,SDDSRVYR_Data_release_cycle
P_DEMO,RIDSTATR,Interview_Examination_status,RIDSTATR_Interview_Examination_status
P_DEMO,RIAGENDR,Gender,RIAGENDR_Gender
P_DEMO,RIDAGEYR,Age_in_years_at_screening,RIDAGEYR_Age_in_years_at_screening
P_DEMO,RIDAGEMN,Age_in_months_at_screening_0_to_24_mos,RIDAGEMN_Age_in_months_at_screening_0_to_24_mos
P_DEMO,RIDRETH1,Race_Hispanic_origin,RIDRETH1_Race_Hispanic_origin
P_DEMO,RIDRETH3,Race_Hispanic_origin_w_NH_Asian,RIDRETH3_Race_Hispanic_origin_w_NH_Asian
P_DEMO,RIDEXMON,Six_month_time_period,RIDEXMON_Six_month_time_period
P_DEMO,DMDBORN4,Country_of_birth,DMDBORN4_Country_of_birth
P_DEMO,DMDYRUSZ,Length_of_time_in_US,DMDYRUSZ_Length_of_time_in_US
P_DEMO,DMDEDUC2,Education_level_Adults_20,DMDEDUC2_Education_level_Adults_20
P_DEMO,DMDMARTZ,Marital_status,DMDMARTZ_Marital_status
P_DEMO,RIDEXPRG,Pregnancy_status_at_exam,RIDEXPRG_Pregnancy_status_at_exam
P_DEMO,SIALANG,Language_of_SP_Interview,SIALANG_Language_of_SP_Interview
P_DEMO,SIAPROXY,Proxy_used_in_SP_Interview,SIAPROXY_Proxy_used_in_SP_Interview
P_DEMO,SIAINTRP,Interpreter_used_in_SP_Interview,SIAINTRP_Interpreter_used_in_SP_Interview
P_DEMO,FIALANG,Language_of_Family_Interview,FIALANG_Language_of_Family_Interview
P_DEMO,FIAPROXY,Proxy_used_in_Family_Interview,FIAPROXY_Proxy_used_in_Family_Interview
P_DEMO,FIAINTRP,Interpreter_used_in_Family_Interview,FIAINTRP_Interpreter_used_in_Family_Interview
P_DEMO,MIALANG,Language_of_MEC_Interview,MIALANG_Language_of_MEC_Interview
P_DEMO,MIAPROXY,Proxy_used_in_MEC_Interview,MIAPROXY_Proxy_used_in_MEC_Interview
P_DEMO,MIAINTRP,Interpreter_used_in_MEC_Interview,MIAINTRP_Interpreter_used_in_MEC_Interview
P_DEMO,AIALANGA,Language_of_ACASI_Interview,AIALANGA_Language_of_ACASI_Interview
P_DEMO,WTINTPRP,Full_sample_interview_weight,WTINTPRP_Full_sample_interview_weight
P_DEMO,WTMECPRP,Full_sample_MEC_exam_weight,WTMECPRP_Full_sample_MEC_exam_weight
P_DEMO,SDMVPSU,Masked_variance_pseudo_PSU,SDMVPSU_Masked_variance_pseudo_PSU
P_DEMO,SDMVSTRA,Masked_variance_pseudo_stratum,SDMVSTRA_Masked_variance_pseudo_stratum
P_DEMO,INDFMPIR,Ratio_of_family_income_to_poverty,INDFMPIR_Ratio_of_family_income_to_poverty
DSBI,DSDIID,INGREDIENT_ID_NUMBER,DSDIID_INGREDIENT_ID_NUMBER
DSBI,DSDINGR,INGREDIENT_NAME,DSDINGR_INGREDIENT_NAME
