iter	Logloss
0	0.6071928815
1	0.5480221801
2	0.493344
3	0.4567228044
4	0.4238624522
5	0.4027706727
6	0.3857152861
7	0.3712781656
8	0.359135398
9	0.3474635064
10	0.3394765196
11	0.3332856173
12	0.3270744174
13	0.320386618
14	0.3140468262
15	0.3090090649
16	0.3040859447
17	0.300711553
18	0.2981137286
19	0.2957495378
20	0.293247229
21	0.2903135234
22	0.2873492614
23	0.2845915737
24	0.2816048163
25	0.278581207
26	0.277117408
27	0.2740643529
28	0.2713693212
29	0.2700288605
30	0.2680617872
31	0.2660635891
32	0.2646862306
33	0.2630278874
34	0.2615211571
35	0.2600512085
36	0.2589002033
37	0.2570938945
38	0.2556431715
39	0.2542772758
40	0.2531960267
41	0.2513898555
42	0.2504460604
43	0.2493298934
44	0.2473021793
45	0.2462646887
46	0.2450376252
47	0.2436095923
48	0.2421088915
49	0.2410340471
50	0.2390305825
51	0.2378085922
52	0.2371746321
53	0.236571113
54	0.2357060193
55	0.2349905104
56	0.2340876011
57	0.2323216428
58	0.2314375106
59	0.2306757291
60	0.2291419473
61	0.2284257453
62	0.2276834882
63	0.2268201937
64	0.2257445772
65	0.2249595278
66	0.2238569005
67	0.2230675279
68	0.2222729465
69	0.2214644777
70	0.2205704227
71	0.2193796594
72	0.2188394677
73	0.2179459885
74	0.2173979705
75	0.2159889952
76	0.2153262953
77	0.2146688466
78	0.2138906335
79	0.2130959179
80	0.2128557539
81	0.2120154643
82	0.2112545066
83	0.2104890331
84	0.2093859904
85	0.2081993997
86	0.2072639858
87	0.20668677
88	0.2061321898
89	0.2049427852
90	0.2040878806
91	0.2027650232
92	0.2019111709
93	0.2014724647
94	0.2000484885
95	0.1992378119
96	0.1985970239
97	0.1977783597
98	0.196722363
99	0.1949280769
100	0.1948654121
101	0.1941199074
102	0.1933899376
103	0.1923248443
104	0.1922222884
105	0.1912861878
106	0.190651965
107	0.1887869429
108	0.1879785813
109	0.1872195474
110	0.1862744949
111	0.1861901169
112	0.1852770934
113	0.1845405051
114	0.1836123546
115	0.1827935996
116	0.1827267127
117	0.1817579036
118	0.1802833388
119	0.1790585137
120	0.1781526584
121	0.1774183184
122	0.1762633088
123	0.1755146832
124	0.1749426489
125	0.1738656831
126	0.1730910044
127	0.1730279942
128	0.1722571536
129	0.1709895144
130	0.1705299833
131	0.1697821549
132	0.1690758443
133	0.1685896624
134	0.1678191554
135	0.167033612
136	0.1665484946
137	0.1658652649
138	0.1648513118
139	0.1641263736
140	0.1634315851
141	0.1633920204
142	0.1627483918
143	0.1617569579
144	0.1606068071
145	0.1599464548
146	0.1593243889
147	0.1582139374
148	0.1581621417
149	0.1567688484
150	0.1563065225
151	0.1562650778
152	0.1556519458
153	0.1554612318
154	0.1550004382
155	0.1544157464
156	0.1537398544
157	0.1532326095
158	0.1527130326
159	0.1526783418
160	0.1519296791
161	0.1512417016
162	0.1506889808
163	0.1502935367
164	0.1495548648
165	0.1492313684
166	0.1486840158
167	0.1482004119
168	0.1477228808
169	0.1473361553
170	0.1466268519
171	0.1465992715
172	0.1456668753
173	0.145201058
174	0.1443300978
175	0.1436131271
176	0.1430589627
177	0.1424784107
178	0.1419739241
179	0.1412806624
180	0.1412437587
181	0.1405542454
182	0.1397560305
183	0.1390278018
184	0.1386040045
185	0.1380478606
186	0.1373017899
187	0.1367103361
188	0.1360805821
189	0.1354905567
190	0.1350562278
191	0.1344698335
192	0.1340112206
193	0.1335108606
194	0.1326360459
195	0.1321149929
196	0.1317355478
197	0.13137999
198	0.131125823
199	0.1304380113
200	0.129934879
201	0.1294264183
202	0.1290247322
203	0.1289384812
204	0.1284289781
205	0.1273950903
206	0.1265323294
207	0.1260597142
208	0.1257356156
209	0.1249219723
210	0.1245339895
211	0.1237489815
212	0.1232790648
213	0.1230963019
214	0.1228531201
215	0.1224380992
216	0.121771723
217	0.1212020336
218	0.1207007307
219	0.119583966
220	0.1191803048
221	0.1188709516
222	0.1182464587
223	0.117740901
224	0.1177183793
225	0.1173890838
226	0.1166627795
227	0.1160661323
228	0.1155631253
229	0.1151340287
230	0.1150403178
231	0.1144484674
232	0.1136580234
233	0.1136388605
234	0.1131465381
235	0.1126043523
236	0.112034278
237	0.1116030396
238	0.1115554603
239	0.1111978053
240	0.1106988887
241	0.1102602391
242	0.1099076467
243	0.1094326987
244	0.1088905033
245	0.1086062471
246	0.1080892265
247	0.1080479505
248	0.1077290098
249	0.10724768
250	0.1068965331
251	0.1064514697
252	0.1063048921
253	0.1060077518
254	0.1055555605
255	0.1052473416
256	0.1047821467
257	0.1043741539
258	0.1040245085
259	0.1034767002
260	0.1029158346
261	0.1025242355
262	0.1025043703
263	0.1019641171
264	0.1016014576
265	0.1011128706
266	0.10055885
267	0.1002594506
268	0.09958085942
269	0.09944304865
270	0.09891233292
271	0.09829977515
272	0.09828244431
273	0.09789036601
274	0.09787554007
275	0.09758633486
276	0.09723604184
277	0.09683998133
278	0.09663040925
279	0.09621366248
280	0.09592759771
281	0.09562140415
282	0.09510974403
283	0.09469464555
284	0.09429740823
285	0.09402546905
286	0.09340678013
287	0.0930985128
288	0.09262905332
289	0.09233749403
290	0.09191304261
291	0.09160026581
292	0.09115909951
293	0.09074050789
294	0.09059108178
295	0.09038086912
296	0.0899065451
297	0.08985419328
298	0.0895214631
299	0.08934349095
300	0.08899176832
301	0.08897889363
302	0.08869010403
303	0.08818990368
304	0.08785392715
305	0.08739265228
306	0.08705327898
307	0.08646102063
308	0.08607470487
309	0.08575584625
310	0.08536188252
311	0.08492179317
312	0.0848541667
313	0.08454201712
314	0.08421060848
315	0.08393742801
316	0.08380665122
317	0.08379397153
318	0.08337506273
319	0.08336521974
320	0.08290860867
321	0.08270036153
322	0.08247448241
323	0.08196023564
324	0.0819504318
325	0.0815897077
326	0.08132496699
327	0.08116997371
328	0.08102677159
329	0.08081009104
330	0.08062638487
331	0.08036237464
332	0.08002959933
333	0.07988575236
334	0.07961581969
335	0.07928260493
336	0.07920729182
337	0.07901885214
338	0.07871670646
339	0.07839619042
340	0.07813104133
341	0.07783723784
342	0.07779658778
343	0.07748389205
344	0.07727982198
345	0.07718822152
346	0.07706277342
347	0.07680176455
348	0.0765839514
349	0.07625528568
350	0.07624675307
