iter	Passed	Remaining
0	156	62370
1	165	32848
2	174	23117
3	183	18195
4	192	15200
5	200	13133
6	207	11647
7	214	10517
8	222	9666
9	230	8974
10	238	8425
11	245	7931
12	252	7520
13	259	7167
14	267	6854
15	274	6585
16	281	6342
17	288	6128
18	295	5931
19	303	5757
20	310	5598
21	319	5489
22	326	5359
23	334	5235
24	341	5116
25	348	5011
26	355	4909
27	362	4818
28	370	4734
29	377	4651
30	384	4577
31	392	4511
32	399	4441
33	406	4374
34	413	4310
35	420	4251
36	427	4192
37	434	4139
38	441	4083
39	448	4037
40	455	3989
41	462	3943
42	469	3897
43	476	3853
44	483	3813
45	490	3772
46	499	3753
47	509	3738
48	519	3723
49	529	3708
50	538	3683
51	546	3655
52	555	3638
53	563	3609
54	569	3575
55	576	3544
56	584	3514
57	591	3486
58	598	3459
59	605	3432
60	612	3405
61	619	3377
62	626	3351
63	633	3325
64	640	3301
65	647	3278
66	655	3257
67	662	3235
68	669	3212
69	677	3193
70	684	3172
71	692	3154
72	699	3133
73	706	3112
74	713	3093
75	720	3071
76	727	3051
77	733	3029
78	741	3011
79	748	2992
80	754	2972
81	761	2954
82	768	2934
83	775	2917
84	782	2898
85	789	2882
86	796	2864
87	803	2847
88	810	2830
89	816	2813
90	824	2798
91	830	2781
92	837	2765
93	844	2748
94	851	2732
95	858	2717
96	864	2701
97	871	2685
98	878	2670
99	885	2655
100	892	2641
101	899	2627
102	906	2612
103	913	2598
104	920	2585
105	927	2572
106	934	2558
107	941	2545
108	948	2531
109	955	2517
110	961	2504
111	968	2490
112	975	2476
113	981	2461
114	988	2449
115	994	2435
116	1002	2423
117	1008	2410
118	1015	2398
119	1022	2386
120	1029	2373
121	1036	2361
122	1043	2350
123	1050	2338
124	1057	2326
125	1064	2314
126	1070	2301
127	1077	2288
128	1084	2277
129	1090	2265
130	1097	2254
131	1104	2242
132	1111	2230
133	1117	2218
134	1124	2207
135	1132	2198
136	1139	2188
137	1146	2177
138	1153	2166
139	1160	2156
140	1167	2145
141	1174	2133
142	1181	2123
143	1188	2112
144	1195	2102
145	1203	2093
146	1210	2083
147	1217	2073
148	1224	2062
149	1231	2052
150	1238	2042
151	1245	2032
152	1252	2022
153	1259	2012
154	1266	2001
155	1273	1991
156	1280	1981
157	1287	1971
158	1293	1961
159	1300	1951
160	1308	1941
161	1315	1932
162	1321	1921
163	1329	1912
164	1336	1902
165	1343	1893
166	1350	1884
167	1356	1873
168	1363	1863
169	1370	1853
170	1377	1844
171	1383	1834
172	1390	1825
173	1397	1815
174	1404	1806
175	1411	1796
176	1418	1787
177	1425	1777
178	1431	1767
179	1439	1758
180	1446	1749
181	1453	1740
182	1460	1731
183	1467	1722
184	1473	1712
185	1481	1704
186	1488	1695
187	1495	1685
188	1501	1676
189	1508	1667
190	1515	1658
191	1522	1649
192	1529	1640
193	1536	1631
194	1543	1622
195	1549	1613
196	1557	1604
197	1564	1595
198	1571	1587
199	1578	1578
200	1585	1569
201	1592	1560
202	1599	1551
203	1606	1543
204	1612	1534
205	1619	1525
206	1626	1516
207	1633	1508
208	1640	1499
209	1647	1490
210	1654	1482
211	1661	1473
212	1668	1464
213	1675	1456
214	1683	1448
215	1690	1440
216	1698	1432
217	1705	1424
218	1713	1415
219	1720	1407
220	1727	1399
221	1735	1391
222	1742	1382
223	1749	1374
224	1756	1366
225	1763	1357
226	1771	1350
227	1778	1341
228	1785	1333
229	1792	1325
230	1800	1317
231	1807	1308
232	1814	1300
233	1821	1292
234	1828	1284
235	1836	1275
236	1843	1267
237	1850	1259
238	1856	1250
239	1863	1242
240	1871	1234
241	1878	1226
242	1886	1218
243	1893	1210
244	1900	1202
245	1907	1193
246	1914	1185
247	1921	1177
248	1928	1169
249	1935	1161
250	1943	1153
251	1950	1145
252	1957	1137
253	1965	1129
254	1972	1121
255	1979	1113
256	1986	1105
257	1994	1097
258	2001	1089
259	2008	1081
260	2015	1073
261	2022	1065
262	2029	1057
263	2036	1049
264	2044	1041
265	2050	1033
266	2058	1025
267	2065	1017
268	2072	1009
269	2080	1001
270	2086	993
271	2094	985
272	2101	977
273	2108	969
274	2115	961
275	2122	953
276	2129	945
277	2136	937
278	2142	929
279	2149	921
280	2156	913
281	2163	905
282	2170	897
283	2178	889
284	2186	882
285	2193	874
286	2200	866
287	2208	858
288	2215	850
289	2222	843
290	2230	835
291	2237	827
292	2244	819
293	2251	811
294	2258	803
295	2265	795
296	2272	788
297	2279	780
298	2286	772
299	2293	764
300	2301	756
301	2308	749
302	2315	741
303	2323	733
304	2330	726
305	2338	718
306	2345	710
307	2353	702
308	2360	695
309	2368	687
310	2375	679
311	2383	672
312	2391	664
313	2400	657
314	2407	649
315	2415	642
316	2422	634
317	2430	626
318	2437	618
319	2443	610
320	2451	603
321	2458	595
322	2466	587
323	2473	580
324	2480	572
325	2487	564
326	2495	557
327	2502	549
328	2509	541
329	2516	533
330	2523	526
331	2530	518
332	2537	510
333	2544	502
334	2551	495
335	2559	487
336	2566	479
337	2573	472
338	2581	464
339	2588	456
340	2595	449
341	2602	441
342	2610	433
343	2617	426
344	2624	418
345	2631	410
346	2638	402
347	2645	395
348	2652	387
349	2660	380
350	2667	372
351	2675	364
352	2683	357
353	2690	349
354	2698	342
355	2705	334
356	2712	326
357	2719	319
358	2727	311
359	2734	303
360	2741	296
361	2748	288
362	2756	280
363	2763	273
364	2770	265
365	2777	258
366	2784	250
367	2792	242
368	2799	235
369	2806	227
370	2813	219
371	2820	212
372	2827	204
373	2834	197
374	2841	189
375	2849	181
376	2856	174
377	2863	166
378	2870	159
379	2878	151
380	2885	143
381	2892	136
382	2900	128
383	2907	121
384	2914	113
385	2921	105
386	2928	98
387	2935	90
388	2942	83
389	2949	75
390	2956	68
391	2964	60
392	2971	52
393	2979	45
394	2986	37
395	2993	30
396	3001	22
397	3008	15
398	3015	7
399	3023	0
