feature,importance
P_DEMO__RIDAGEYR_Age_in_years_at_screening,1.1268027
Pulse_median,0.4955252
P_BIOPRO__LBXSCLSI_Chloride_mmol_L,0.447381
P_ALB_CR__URDACT_Albumin_creatinine_ratio_mg_g,0.43218073
P_MCQ__MCQ300C_2.0,0.3849867
P_LUX__LUXCAPM_Median_CAP_decibels_per_meter_dB_m,0.34203944
P_BMX__BMXLEG_Upper_Leg_Length_cm,0.33706552
BP_sys_median,0.31706068
P_MCQ__MCQ366B_2.0,0.29831633
P_CBC__LBXPLTSI_Platelet_count_1000_cells_uL,0.27882016
P_TST__LBXSHBG_SHBG_nmol_L,0.25749773
P_TST__LBDPG4SI_Progesterone_nmol_L,0.25347212
P_ALQ__ALQ121_Past_12_mo_how_often_drink_alcoholic_bev_6.0,0.21278134
P_BMX__BMXHIP_Hip_Circumference_cm,0.20589408
P_BIOPRO__LBDSBUSI_Blood_Urea_Nitrogen_mmol_L,0.17055029
P_BIOPRO__LBDSTRSI_Triglycerides_refrig_serum_mmol_L,0.16510442
P_ALB_CR__URXCRS_Creatinine_urine_umol_L,0.16028127
P_DBQ__DBD900_of_meals_from_fast_food_or_pizza_place,0.15589045
P_LUX__LUXSMED_Median_stiffness_E_kilopascals_kPa,0.1548343
P_BMX__BMXWAIST_Waist_Circumference_cm,0.14617775
P_BIOPRO__LBDSIRSI_Iron_refrigerated_serum_umol_L,0.1445187
P_BIOPRO__LBDSTBSI_Total_Bilirubin_umol_L,0.14085335
P_WHQ__WHD050_Self_reported_weight_1_yr_ago_pounds,0.1387441
P_WHQ__WHQ150_Age_when_heaviest_weight,0.13641061
P_FASTQX__PHDSESN_Session_in_which_SP_was_examined_1.0,0.1318813
P_BIOPRO__LBDSCHSI_Cholesterol_refrigerated_serum_mmol_L,0.12837696
P_BPQ__BPQ080_Doctor_told_you_high_cholesterol_level_2.0,0.124434315
P_ALB_CR__URXUMS_Albumin_urine_mg_L,0.124286376
P_MCQ__MCQ371C_2.0,0.12216212
P_CBC__LBXRDW_Red_cell_distribution_width,0.120612234
P_INQ__INDFMMPI_Family_monthly_poverty_level_index,0.11981354
P_BIOPRO__LBXSLDSI_Lactate_Dehydrogenase_LDH_IU_L,0.113112874
P_PBCD__LBDBPBSI_Blood_lead_umol_L,0.10910398
BP_dia_median,0.10865211
P_TCHOL__LBDTCSI_Total_Cholesterol_mmol_L,0.10732247
P_FASTQX__PHAFSTMN_Total_length_of_food_fast_minutes,0.10568684
P_PBCD__LBDBSESI_Blood_selenium_umol_L,0.10530395
P_FETIB__LBDUIBSI_UIBC_Serum_umol_L,0.10368948
P_BMX__BMXARMC_Arm_Circumference_cm,0.10275753
P_BIOPRO__LBXSGTSI_Gamma_Glutamyl_Transferase_GGT_IU_L,0.098897085
P_BMX__BMXBMI_Body_Mass_Index_kg_m_2,0.089717805
P_CBC__LBXMCVSI_Mean_cell_volume_fL,0.087447874
P_IHGEM__LBDIHGSI_Mercury_inorganic_nmol_L,0.083502606
P_MCQ__MCQ300A_2.0,0.083218046
P_IHGEM__LBDBGMSI_Mercury_methyl_nmol_L,0.07606425
P_COT__LBXHCOT_Hydroxycotinine_Serum_ng_mL,0.0755471
P_SLQ__SLD012_Sleep_hours_weekdays_or_workdays_2,0.07498371
P_HDL__LBDHDDSI_Direct_HDL_Cholesterol_mmol_L,0.07413217
P_KIQ_U__KIQ044_Urinated_before_reaching_the_toilet_2.0,0.074127235
P_ALQ__ALQ121_Past_12_mo_how_often_drink_alcoholic_bev_4.0,0.07392618
P_CBC__LBXHGB_Hemoglobin_g_dL,0.072118215
P_BIOPRO__LBDSTPSI_Total_Protein_g_L,0.07181561
P_CBC__LBXMC_Mean_Cell_Hgb_Conc_g_dL,0.070291735
P_MCQ__MCQ080_Doctor_ever_said_you_were_overweight_2.0,0.06880865
P_WHQ__WHD140_Self_reported_greatest_weight_pounds,0.068154074
P_KIQ_U__KIQ005_How_often_have_urinary_leakage_3.0,0.068028264
P_CBC__LBXNEPCT_Segmented_neutrophils_percent,0.064644985
P_WHQ__WHD120_Self_reported_weight_age_25_pounds,0.06293605
P_TST__LBDES1SI_Estrone_Sulfate_pmol_L,0.062271744
P_DBQ__DBQ700_How_healthy_is_the_diet_2.0,0.062126737
P_CBC__LBXMCHSI_Mean_cell_hemoglobin_pg,0.06020341
P_ALQ__ALQ121_Past_12_mo_how_often_drink_alcoholic_bev_10.0,0.059192978
P_BIOPRO__LBXSNASI_Sodium_mmol_L,0.058762446
P_BIOPRO__LBDSPHSI_Phosphorus_mmol_L,0.05702942
P_FERTIN__LBDFERSI_Ferritin_ug_L,0.05604562
P_MCQ__MCQ366D_2.0,0.055028576
P_CBC__LBXLYPCT_Lymphocyte_percent,0.052704923
P_CBC__LBDNENO_Segmented_neutrophils_num_1000_cell_uL,0.051530052
P_CBC__LBXRBCSI_Red_blood_cell_count_million_cells_uL,0.05126896
P_TST__LBDANDSI_Androstenedione_nmol_L,0.050141267
P_WHQ__WHD010_Current_self_reported_height_inches,0.04815492
P_BMX__BMXARML_Upper_Arm_Length_cm,0.04535048
P_PAQ__PAQ605_Vigorous_work_activity_2.0,0.04454932
P_PAQ__PAD680_Minutes_sedentary_activity,0.042809777
P_PBCD__LBDTHGSI_Blood_mercury_total_nmol_L,0.041503273
P_SMQSHS__SMQ878_Last_7_d_in_other_indoor_area_2.0,0.041285414
P_BIOPRO__LBDSCASI_Total_Calcium_mmol_L,0.041003942
P_BMX__BMXWT_Weight_kg,0.040763985
P_OHQ__OHQ845_Rate_the_health_of_your_teeth_and_gums_4.0,0.040108375
P_TST__LBDESTSI_Estradiol_pmol_L,0.03980966
P_CBC__LBXMOPCT_Monocyte_percent,0.039549123
P_HSCRP__LBXHSCRP_HS_C_Reactive_Protein_mg_L,0.03869326
P_PBCD__LBDBCDSI_Blood_cadmium_nmol_L,0.03746134
P_BMX__BMXHT_Standing_Height_cm,0.037187066
P_MCQ__MCQ160E_2.0,0.03636112
P_CBC__LBXBAPCT_Basophils_percent,0.036182906
P_DBQ__DBD905_of_ready_to_eat_foods_in_past_30_days,0.034784537
