feature,importance
P_DEMO__RIDAGEYR_Age_in_years_at_screening,0.9581391
P_MCQ__MCQ300C_2.0,0.39278585
P_ALB_CR__URDACT_Albumin_creatinine_ratio_mg_g,0.28952393
P_LUX__LUXCAPM_Median_CAP_decibels_per_meter_dB_m,0.28863502
P_BIOPRO__LBXSCLSI_Chloride_mmol_L,0.18582796
Pulse_median,0.16200286
P_BIOPRO__LBDSTRSI_Triglycerides_refrig_serum_mmol_L,0.15922685
P_BMX__BMXWAIST_Waist_Circumference_cm,0.15823056
P_MCQ__MCQ366D_2.0,0.1451282
P_FASTQX__PHDSESN_Session_in_which_SP_was_examined_1.0,0.13738474
P_BPQ__BPQ020_Ever_told_you_had_high_blood_pressure_2.0,0.13198437
P_PBCD__LBDBPBSI_Blood_lead_umol_L,0.13075793
P_TCHOL__LBDTCSI_Total_Cholesterol_mmol_L,0.12381743
P_BIOPRO__LBDSCHSI_Cholesterol_refrigerated_serum_mmol_L,0.111833714
P_DEMO__RIDRETH3_Race_Hispanic_origin_w_NH_Asian_3.0,0.10449615
P_BIOPRO__LBXSLDSI_Lactate_Dehydrogenase_LDH_IU_L,0.10410544
P_BIOPRO__LBXSGTSI_Gamma_Glutamyl_Transferase_GGT_IU_L,0.101406656
P_WHQ__WHQ150_Age_when_heaviest_weight,0.099126436
P_LUX__LUXSMED_Median_stiffness_E_kilopascals_kPa,0.09899661
P_PBCD__LBDBCDSI_Blood_cadmium_nmol_L,0.09638483
P_TST__LBXSHBG_SHBG_nmol_L,0.09568132
P_PAQ__PAQ620_Moderate_work_activity_2.0,0.08900971
P_WHQ__WHD140_Self_reported_greatest_weight_pounds,0.087434046
P_CBC__LBXMCHSI_Mean_cell_hemoglobin_pg,0.086756974
P_CBC__LBXMPSI_Mean_platelet_volume_fL,0.08367057
BP_dia_median,0.079991035
P_BMX__BMXHIP_Hip_Circumference_cm,0.079838745
P_BPQ__BPQ080_Doctor_told_you_high_cholesterol_level_2.0,0.07628559
P_CBC__LBXMOPCT_Monocyte_percent,0.07580958
P_FASTQX__PHDSESN_Session_in_which_SP_was_examined_2.0,0.07459481
P_MCQ__MCQ366B_2.0,0.07310161
