feature_1,feature_2,mean_abs_interaction
P_DEMO__RIDAGEYR_Age_in_years_at_screening,P_LUX__LUXCAPM_Median_CAP_decibels_per_meter_dB_m,0.036317524
P_DEMO__RIDAGEYR_Age_in_years_at_screening,P_ALB_CR__URDACT_Albumin_creatinine_ratio_mg_g,0.03358454
P_DEMO__RIDAGEYR_Age_in_years_at_screening,P_TCHOL__LBDTCSI_Total_Cholesterol_mmol_L,0.028819472
P_DEMO__RIDAGEYR_Age_in_years_at_screening,P_MCQ__MCQ300C_2.0,0.025102694
P_MCQ__MCQ300C_2.0,P_BMX__BMXWAIST_Waist_Circumference_cm,0.018106524
P_MCQ__MCQ300C_2.0,P_LUX__LUXCAPM_Median_CAP_decibels_per_meter_dB_m,0.017048892
P_HUQ__HUQ051_times_receive_healthcare_over_past_year,P_BIOPRO__LBDSTRSI_Triglycerides_refrig_serum_mmol_L,0.015219339
P_MCQ__MCQ300C_2.0,P_ALB_CR__URDACT_Albumin_creatinine_ratio_mg_g,0.014910412
P_ALB_CR__URDACT_Albumin_creatinine_ratio_mg_g,P_BIOPRO__LBDSTRSI_Triglycerides_refrig_serum_mmol_L,0.01487891
P_LUX__LUXCAPM_Median_CAP_decibels_per_meter_dB_m,P_BPQ__BPQ020_Ever_told_you_had_high_blood_pressure_2.0,0.013861837
P_ALB_CR__URDACT_Albumin_creatinine_ratio_mg_g,P_MCQ__MCQ366D_2.0,0.013494415
P_MCQ__MCQ300C_2.0,P_BIOPRO__LBDSTRSI_Triglycerides_refrig_serum_mmol_L,0.01327879
P_DEMO__RIDAGEYR_Age_in_years_at_screening,P_BPQ__BPQ020_Ever_told_you_had_high_blood_pressure_2.0,0.012793695
P_MCQ__MCQ300C_2.0,P_HUQ__HUQ051_times_receive_healthcare_over_past_year,0.012513615
P_DEMO__RIDAGEYR_Age_in_years_at_screening,P_BIOPRO__LBDSTRSI_Triglycerides_refrig_serum_mmol_L,0.012148718
P_DEMO__RIDAGEYR_Age_in_years_at_screening,P_BMX__BMXWAIST_Waist_Circumference_cm,0.011855719
P_ALB_CR__URDACT_Albumin_creatinine_ratio_mg_g,P_BMX__BMXWAIST_Waist_Circumference_cm,0.011685304
P_DEMO__RIDAGEYR_Age_in_years_at_screening,P_HUQ__HUQ010_General_health_condition,0.011521856
P_MCQ__MCQ300C_2.0,P_HUQ__HUQ010_General_health_condition,0.011473165
P_LUX__LUXCAPM_Median_CAP_decibels_per_meter_dB_m,P_ALB_CR__URDACT_Albumin_creatinine_ratio_mg_g,0.01070025
P_ALB_CR__URDACT_Albumin_creatinine_ratio_mg_g,P_BPQ__BPQ020_Ever_told_you_had_high_blood_pressure_2.0,0.010652042
P_DEMO__RIDAGEYR_Age_in_years_at_screening,Pulse_median,0.010497742
P_DEMO__RIDAGEYR_Age_in_years_at_screening,P_MCQ__MCQ366D_2.0,0.01037142
P_MCQ__MCQ366D_2.0,P_BPQ__BPQ020_Ever_told_you_had_high_blood_pressure_2.0,0.010121815
P_BIOPRO__LBDSTRSI_Triglycerides_refrig_serum_mmol_L,P_TCHOL__LBDTCSI_Total_Cholesterol_mmol_L,0.009072567
P_MCQ__MCQ300C_2.0,P_BPQ__BPQ020_Ever_told_you_had_high_blood_pressure_2.0,0.008890653
P_ALB_CR__URDACT_Albumin_creatinine_ratio_mg_g,P_HUQ__HUQ051_times_receive_healthcare_over_past_year,0.008869214
P_ALB_CR__URDACT_Albumin_creatinine_ratio_mg_g,P_HUQ__HUQ010_General_health_condition,0.008841454
P_LUX__LUXCAPM_Median_CAP_decibels_per_meter_dB_m,P_MCQ__MCQ366D_2.0,0.008619913
P_DEMO__RIDAGEYR_Age_in_years_at_screening,P_PBCD__LBDBPBSI_Blood_lead_umol_L,0.008486253
P_LUX__LUXCAPM_Median_CAP_decibels_per_meter_dB_m,P_BIOPRO__LBXSCLSI_Chloride_mmol_L,0.008449182
P_MCQ__MCQ300C_2.0,P_FASTQX__PHDSESN_Session_in_which_SP_was_examined_1.0,0.008386281
P_DEMO__RIDAGEYR_Age_in_years_at_screening,P_HUQ__HUQ051_times_receive_healthcare_over_past_year,0.007833016
P_HUQ__HUQ010_General_health_condition,P_BMX__BMXWAIST_Waist_Circumference_cm,0.0077110026
P_BIOPRO__LBXSCLSI_Chloride_mmol_L,P_FASTQX__PHDSESN_Session_in_which_SP_was_examined_1.0,0.007691129
P_ALB_CR__URDACT_Albumin_creatinine_ratio_mg_g,Pulse_median,0.0076146615
P_MCQ__MCQ300C_2.0,P_BIOPRO__LBXSCLSI_Chloride_mmol_L,0.006991089
P_BIOPRO__LBXSCLSI_Chloride_mmol_L,P_HUQ__HUQ010_General_health_condition,0.006821834
P_BIOPRO__LBDSTRSI_Triglycerides_refrig_serum_mmol_L,P_HUQ__HUQ010_General_health_condition,0.006821048
P_MCQ__MCQ300C_2.0,P_TCHOL__LBDTCSI_Total_Cholesterol_mmol_L,0.0067890687
P_BIOPRO__LBXSCLSI_Chloride_mmol_L,P_BIOPRO__LBDSTRSI_Triglycerides_refrig_serum_mmol_L,0.0066809542
